Index,Value
1,64.923
2,65.896
3,66.834
4,67.212
5,67.668
6,67.78
7,67.801
8,67.525
9,67.102
10,66.264
11,65.233
12,63.83
13,62.563
14,60.709
15,58.543
16,56.402
17,54.888
18,52.551
19,50.727
20,50.185
21,48.648
22,49.496
23,50.587
24,50.78
25,52.465
26,53.666
27,54.634
28,56.203
29,57.743
30,58.665
31,59.382
32,59.294
33,59.689
34,59.425
35,58.966
36,58.519
37,57.796
38,56.869
39,55.991
40,55.519
41,55.594
42,55.478
43,56.103
44,57.135
45,58.383
46,59.715
47,61.559
48,63.07
49,64.114
50,65.592
51,66.392
52,66.979
53,67.605
54,67.661
55,67.638
56,67.507
57,66.984
58,66.286
59,65.306
60,64.037
61,62.453
62,60.775
63,58.697
64,57.091
65,55.778
66,53.916
67,51.8
68,51.94
69,51.355
70,51.236
71,52.159
72,52.962
73,53.077
74,54.858
75,55.795
76,56.703
77,58.183
78,58.329
79,58.511
80,58.938
81,58.965
82,58.388
83,57.739
84,56.972
85,56.571
86,55.649
87,55.547
88,54.253
89,54.246
90,55.064
91,55.66
92,56.687
93,58.221
94,59.499
95,61.479
96,62.963
97,64.449
98,65.865
99,66.553
100,67.165
101,67.536
102,67.764
103,67.663
104,67.335
105,66.666
106,65.848
107,64.883
108,63.452
109,61.721
110,59.898
111,58.532
112,56.486
113,54.678
114,53.659
115,52.101
116,51.499
117,51.762
118,51.486
119,51.255
120,51.905
121,53.186
122,54.57
123,54.428
124,55.378
125,56.877
126,56.949
127,57.751
128,57.715
129,57.795
130,57.578
131,56.97
132,56.965
133,56.404
134,56.11
135,55.379
136,54.689
137,54.868
138,56.157
139,56.34
140,57.326
141,58.668
142,59.629
143,61.383
144,62.854
145,64.325
146,65.447
147,66.264
148,67.142
149,67.474
150,67.66
151,67.701
152,67.321
153,66.674
154,66.029
155,64.825
156,63.191
157,61.507
158,59.779
159,57.794
160,55.909
161,54.324
162,52.528
163,52.79
164,51.458
165,51.843
166,52.195
167,52.773
168,53.868
169,54.244
170,55.172
171,56.554
172,56.676
173,57.521
174,57.711
175,58.357
176,58.579
177,58.149
178,57.55
179,56.39
180,56.849
181,56.033
182,56.111
183,55.135
184,55.044
185,55.2
186,55.801
187,56.255
188,57.309
189,58.406
190,59.597
191,61.16
192,62.551
193,64.004
194,65.211
195,66.164
196,66.878
197,67.339
198,67.451
199,67.433
200,67.018
201,66.377
202,65.193
203,63.964
204,62.059
205,59.657
206,56.807
207,54.635
208,52.491
209,49.436
210,47.569
211,46.33
212,46.76
213,46.712
214,46.642
215,47.593
216,49.219
217,50.467
218,52.831
219,53.458
220,54.603
221,54.984
222,56.119
223,56.765
224,56.804
225,56.669
226,56.663
227,56.194
228,55.884
229,55.93
230,54.922
231,55.761
232,55.618
233,56.089
234,56.386
235,57.125
236,58.081
237,58.954
238,59.831
239,61.106
240,62.387
241,63.074
242,64.329
243,65.253
244,65.858
245,66.537
246,66.954
247,67.247
248,67.237
249,67.115
250,66.689
251,66.125
252,65.197
253,64.264
254,62.836
255,61.28
256,59.721
257,58.24
258,56.29
259,55.596
260,53.613
261,53.549
262,52.882
263,53.317
264,53.411
265,53.637
266,54.702
267,55.204
268,55.018
269,55.828
270,55.542
271,56.466
272,56.256
273,55.676
274,56.554
275,56.367
276,56.023
277,56.23
278,56.139
279,56.647
280,57.071
281,57.304
282,58.587
283,59.531
284,60.313
285,61.269
286,61.999
287,62.823
288,63.941
289,64.529
290,65.146
291,65.833
292,66.329
293,66.627
294,67.031
295,67.047
296,67.203
297,67.247
298,67.192
299,66.8
300,66.379
301,65.816
302,65.037
303,64.024
304,62.964
305,61.638
306,60.464
307,59.152
308,57.6
309,56.182
310,55.542
311,55.321
312,54.905
313,55.638
314,55.879
315,56.253
316,57.068
317,57.45
318,58.058
319,58.339
320,58.911
321,58.96
322,58.991
323,58.385
324,58.107
325,57.75
326,57.186
327,57.289
328,56.687
329,56.471
330,57.063
331,58.276
332,58.544
333,60.095
334,61.408
335,62.448
336,63.673
337,64.805
338,65.73
339,66.646
340,67.145
341,67.637
342,67.702
343,67.725
344,67.511
345,67.006
346,66.286
347,65.034
348,63.929
349,62.14
350,60.745
351,58.217
352,56.091
353,54.271
354,52.605
355,50.814
356,49.414
357,48.971
358,49.359
359,49.359
360,50.69
361,52.078
362,53.173
363,55.309
364,56.021
365,57.15
366,58.486
367,59.075
368,59.523
369,59.872
370,59.498
371,59.051
372,58.259
373,57.55
374,56.716
375,55.144
376,54.764
377,54.83
378,55.334
379,55.651
380,56.646
381,58.009
382,59.692
383,61.247
384,62.765
385,64.249
386,65.258
387,66.288
388,66.983
389,67.395
390,67.622
391,67.558
392,67.259
393,66.816
394,66.117
395,65.124
396,63.708
397,62.495
398,59.906
399,58.913
400,56.462
401,54.638
402,53.566
403,52.357
404,51.058
405,51.388
406,51.008
407,51.832
408,52.117
409,53.053
410,54.317
411,55.753
412,56.493
413,57.208
414,57.79
415,58.706
416,58.916
417,58.781
418,58.181
419,57.676
420,56.7
421,56.34
422,54.956
423,53.973
424,54.52
425,54.444
426,54.356
427,55.523
428,55.905
429,57.953
430,59.395
431,61.249
432,62.838
433,64.229
434,65.421
435,66.568
436,67.117
437,67.564
438,67.719
439,67.542
440,67.202
441,66.549
442,65.703
443,64.557
444,63.274
445,61.601
446,59.683
447,57.896
448,56.043
449,54.048
450,53.153
451,51.678
452,51.126
453,50.897
454,51.119
455,51.123
456,51.836
457,52.169
458,53.286
459,54.549
460,55.376
461,56.042
462,56.95
463,56.885
464,56.887
465,57.337
466,57.316
467,56.99
468,57.208
469,55.924
470,55.366
471,55.129
472,54.847
473,54.704
474,55.348
475,55.801
476,57.029
477,58.305
478,59.381
479,60.944
480,62.57
481,64.024
482,65.253
483,66.242
484,67.051
485,67.444
486,67.61
487,67.561
488,67.295
489,66.637
490,65.841
491,64.604
492,63.113
493,61.554
494,59.564
495,57.153
496,55.896
497,53.498
498,52.495
499,52.138
500,50.872
501,50.911
502,52.128
503,53.063
504,52.409
505,54.299
506,54.782
507,56.105
508,56.581
509,57.106
510,57.555
511,57.549
512,58.299
513,57.66
514,57.364
515,56.795
516,56.807
517,55.818
518,55.127
519,54.91
520,55.004
521,53.924
522,55.204
523,55.755
524,56.785
525,57.73
526,59.106
527,60.422
528,62.295
529,63.391
530,65.048
531,65.903
532,66.731
533,67.224
534,67.392
535,67.383
536,66.951
537,66.203
538,65.343
539,63.765
540,61.455
541,59.552
542,56.647
543,53.824
544,51.555
545,49.191
546,47.575
547,46.65
548,45.054
549,46.151
550,46.294
551,47.901
552,48.677
553,51.044
554,51.923
555,52.541
556,54.248
557,55.481
558,55.569
559,56.277
560,56.465
561,56.578
562,56.185
563,56.16
564,55.468
565,54.735
566,55.031
567,55.305
568,54.898
569,55.783
570,56.498
571,56.745
572,57.872
573,58.517
574,59.726
575,60.747
576,62.137
577,63.14
578,64.087
579,65.247
580,65.984
581,66.46
582,66.928
583,67.07
584,67.113
585,66.899
586,66.625
587,66.021
588,65.06
589,64.014
590,62.776
591,60.636
592,59.22
593,57.835
594,55.778
595,55.018
596,53.449
597,52.507
598,52.265
599,52.798
600,52.779
601,53.297
602,54.195
603,54.179
604,54.327
605,55.676
606,55.767
607,55.668
608,55.984
609,56.268
610,55.902
611,55.542
612,55.748
613,55.548
614,56.082
615,56.232
616,56.708
617,57.454
618,58.082
619,58.879
620,59.602
621,60.882
622,61.42
623,62.753
624,63.776
625,64.361
626,64.954
627,65.76
628,66.082
629,66.469
630,66.908
631,67.17
632,67.136
633,67.065
634,66.949
635,66.638
636,66.199
637,65.581
638,64.994
639,63.864
640,62.94
641,61.399
642,60.241
643,58.487
644,57.453
645,56.452
646,56.023
647,54.858
648,54.862
649,55.086
650,55.13
651,55.752
652,55.85
653,56.72
654,57.355
655,57.828
656,58.869
657,58.366
658,58.42
659,58.481
660,58.18
661,57.473
662,57.346
663,57.309
664,57.068
665,56.668
666,57.061
667,57.599
668,58.492
669,59.524
670,60.963
671,62.229
672,63.683
673,64.659
674,65.765
675,66.46
676,67.053
677,67.528
678,67.692
679,67.659
680,67.423
681,66.941
682,66.195
683,65.158
684,63.709
685,61.822
686,60.416
687,57.815
688,55.793
689,54.03
690,51.096
691,49.746
692,50.163
693,48.528
694,48.238
695,49.255
696,49.94
697,51.555
698,53.2
699,53.891
700,55.373
701,57.47
702,57.816
703,58.943
704,59.104
705,59.336
706,59.271
707,58.472
708,57.322
709,56.835
710,56.369
711,54.958
712,54.455
713,53.988
714,54.485
715,55.386
716,56.748
717,57.735
718,58.99
719,60.9
720,62.314
721,64.018
722,65.32
723,66.134
724,66.874
725,67.344
726,67.54
727,67.59
728,67.366
729,66.701
730,66.065
731,65.04
732,63.473
733,61.901
734,59.953
735,58.075
736,56.369
737,54.333
738,52.475
739,51.149
740,50.78
741,49.926
742,49.914
743,51.019
744,52.079
745,53.129
746,54.117
747,54.972
748,56.291
749,57.164
750,57.999
751,58.244
752,58.447
753,58.237
754,57.488
755,57.203
756,56.69
757,55.602
758,54.712
759,54.22
760,53.934
761,53.813
762,54.177
763,55.189
764,55.768
765,57.299
766,58.727
767,60.894
768,62.578
769,64.093
770,65.415
771,66.393
772,67.037
773,67.455
774,67.492
775,67.445
776,67.174
777,66.499
778,65.751
779,64.314
780,63.017
781,60.914
782,59.184
783,57.943
784,55.873
785,53.481
786,52.401
787,50.676
788,50.819
789,49.847
790,49.681
791,50.213
792,51.404
793,51.685
794,53.216
795,54.224
796,54.585
797,55.569
798,55.915
799,56.318
800,57.052
801,56.502
802,56.725
803,56.45
804,56.28
805,55.734
806,55.408
807,54.324
808,54.585
809,54.054
810,54.959
811,55.271
812,56.321
813,57.639
814,59.296
815,61.114
816,62.521
817,63.868
818,64.946
819,66.223
820,66.822
821,67.395
822,67.49
823,67.58
824,67.086
825,66.562
826,65.519
827,64.251
828,62.994
829,61.302
830,58.818
831,56.756
832,55.023
833,53.083
834,51.831
835,51.05
836,50.601
837,50.397
838,51.187
839,51.911
840,51.91
841,53.136
842,54.83
843,55.195
844,55.954
845,56.808
846,56.955
847,57.341
848,57.125
849,57.201
850,57.006
851,56.207
852,55.934
853,55.51
854,55.133
855,53.984
856,54.368
857,54.483
858,54.08
859,54.967
860,56.217
861,57.583
862,58.871
863,60.238
864,62.191
865,63.802
866,64.845
867,65.874
868,66.686
869,67.097
870,67.358
871,67.254
872,66.779
873,65.994
874,65.001
875,63.453
876,61.378
877,58.72
878,56.526
879,53.776
880,51.338
881,49.051
882,48.13
883,46.283
884,44.884
885,44.713
886,46.108
887,46.774
888,48.295
889,50.52
890,51.364
891,52.676
892,54.434
893,54.825
894,54.811
895,56.039
896,56.123
897,55.324
898,55.1
899,55.434
900,55.348
901,54.647
902,54.314
903,54.508
904,54.98
905,54.826
906,55.416
907,55.917
908,56.999
909,58.453
910,59.465
911,60.263
912,62.251
913,63.095
